,Unnamed: 0.1,Unnamed: 0,Escala,Referêcia,codibge,Anomalia,Município,SIGLA,AREA,Nome,Porcentagem
142,142,142,Mensal,mar./2022,4103453,-31.918,Cafelândia,PR,271.724,Cafelandia,-32.0%
143,143,143,Mensal,fev./2022,4103453,-40.62594,Cafelândia,PR,271.724,Cafelandia,-41.0%
144,144,144,Mensal,jan./2022,4103479,-81.4536,Cafezal do Sul,PR,335.392,Cafezal Do Sul,-81.0%
145,145,145,Mensal,mar./2022,4103479,-23.107721,Cafezal do Sul,PR,335.392,Cafezal Do Sul,-23.0%
146,146,146,Mensal,fev./2022,4103479,-57.451847,Cafezal do Sul,PR,335.392,Cafezal Do Sul,-57.0%
147,147,147,Mensal,jan./2022,4103503,-81.93305,Califórnia,PR,141.817,California,-82.0%
148,148,148,Mensal,mar./2022,4103503,-9.637825,Califórnia,PR,141.817,California,-10.0%
149,149,149,Mensal,fev./2022,4103503,-58.5538,Califórnia,PR,141.817,California,-59.0%
150,150,150,Mensal,jan./2022,4103602,-75.73383,Cambará,PR,366.153,Cambara,-76.0%
151,151,151,Mensal,mar./2022,4103602,-44.290215,Cambará,PR,366.153,Cambara,-44.0%
152,152,152,Mensal,fev./2022,4103602,-41.613247,Cambará,PR,366.153,Cambara,-42.0%
153,153,153,Mensal,jan./2022,4103701,-73.48376,Cambé,PR,495.375,Cambe,-73.0%
154,154,154,Mensal,mar./2022,4103701,-2.125182,Cambé,PR,495.375,Cambe,-2.0%
155,155,155,Mensal,fev./2022,4103701,-53.090027,Cambé,PR,495.375,Cambe,-53.0%
156,156,156,Mensal,jan./2022,4103800,-84.46012,Cambira,PR,163.388,Cambira,-84.0%
157,157,157,Mensal,mar./2022,4103800,-5.4810543,Cambira,PR,163.388,Cambira,-5.0%
158,158,158,Mensal,fev./2022,4103800,-59.685944,Cambira,PR,163.388,Cambira,-60.0%
159,159,159,Mensal,jan./2022,4103909,-56.763485,Campina da Lagoa,PR,796.614,Campina Da Lagoa,-57.0%
160,160,160,Mensal,mar./2022,4103909,-10.4147415,Campina da Lagoa,PR,796.614,Campina Da Lagoa,-10.0%
161,161,161,Mensal,fev./2022,4103909,-40.748707,Campina da Lagoa,PR,796.614,Campina Da Lagoa,-41.0%
162,162,162,Mensal,jan./2022,4103958,-76.4337,Campina do Simão,PR,448.424,Campina Do Simao,-76.0%
163,163,163,Mensal,mar./2022,4103958,18.91423,Campina do Simão,PR,448.424,Campina Do Simao,19.0%
164,164,164,Mensal,fev./2022,4103958,-19.103392,Campina do Simão,PR,448.424,Campina Do Simao,-19.0%
165,165,165,Mensal,jan./2022,4104006,-80.06903,Campina Grande do Sul,PR,539.245,Campina Grande Do Sul,-80.0%
166,166,166,Mensal,mar./2022,4104006,-47.081055,Campina Grande do Sul,PR,539.245,Campina Grande Do Sul,-47.0%
167,167,167,Mensal,fev./2022,4104006,-53.69668,Campina Grande do Sul,PR,539.245,Campina Grande Do Sul,-54.0%
168,168,168,Mensal,jan./2022,4104055,-59.839706,Campo Bonito,PR,433.832,Campo Bonito,-60.0%
169,169,169,Mensal,mar./2022,4104055,15.907687,Campo Bonito,PR,433.832,Campo Bonito,16.0%
170,170,170,Mensal,fev./2022,4104055,-39.015945,Campo Bonito,PR,433.832,Campo Bonito,-39.0%
171,171,171,Mensal,jan./2022,4104105,-92.394966,Campo do Tenente,PR,304.488,Campo Do Tenente,-92.0%
172,172,172,Mensal,mar./2022,4104105,-5.862954,Campo do Tenente,PR,304.488,Campo Do Tenente,-6.0%
173,173,173,Mensal,fev./2022,4104105,-69.53526,Campo do Tenente,PR,304.488,Campo Do Tenente,-70.0%
174,174,174,Mensal,jan./2022,4104204,-86.87082,Campo Largo,PR,1243.551,Campo Largo,-87.0%
